OBJECTID,CREATION_DT,RECORDATION_DT,NARRATIVE,EXPIRATION_DT,STATUS,SQUARE,SUFFIX,LOT,LOT_TYPE,COMPUTED_AREA_SF,SURVEYED_AREA_SF,MAR_ID,IS_REAR_OF,BLDG_NUM,BLDG_NUM_EXT,BLDG_NUM_END_RANGE,BLDG_EXT_END_RANGE,QUADRANT,ZIP5,ZIP4,RECORD_AREA_SF,CONV_TOLERANCE_TYPE,CONV_TOLERANCE_VALUE,CONV_TOLERANCE_RESOLUTION,RECORDLOTSPLYID,PARCELSPLYID,SQUAREPLYID,OF_LOT_SEQ,BOOK_NUM,PAGE_NUM,UNDERLIES_CONDO,CONDO_BOOK_NUM,CONDO_PAGE_NUM,KILL_DT,SSL,COL,CONDOLOT,CONDO_REGIME_NUM,AREA,LEN,SHAPE_Length,SHAPE_Area
3852630,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 KILLED TAX LOT 808 ON 10/26/2005.,,2,2837,,0808,2,16012,,,,,,,,,,,16258,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0808,N,Y,1664,,,376.245955643126,2462.17202893215
3852631,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2039 - 2040) KILLED TAX LOT 809 ON 10/26/2005.,,2,2837,,0809,2,1083,,,,,,,,,,,1083,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0809,N,Y,1664,,,55.1741509498856,166.588818331963
3852632,2008/08/27 00:00:00+00,2005/09/13 00:00:00+00,"SEE CONDO BOOK 73, PAGE 40 (CONDOS 2322 - 2323) KILLED TAX LOT 833 ON 12/19/2013",,2,2132,,0833,2,142757,,,,,,,,,,,143003,,,,,,,,3821,Z,1,73,40,2013/12/19 00:00:00+00,2132    0833,N,Y,5106,,,586.506765737955,21946.5097667167
3852633,2008/04/29 00:00:00+00,2007/04/25 00:00:00+00,"SEE CONDO BOOK 80, PAGE 41 (CONDOS 2248 - 2253) KILLED TAX LOTS 846 ON 11/13/2013",,2,1045,,0846,2,3452,,,,,,,,,,,3473,,,,,,,,3830,M,1,80,41,2013/11/13 00:00:00+00,1045    0846,N,Y,4174,,,98.7256273951287,530.032984206198
3852634,2006/09/09 00:00:00+00,1921/06/25 00:00:01+00,"SEE CONDO BOOK 73, PAGE 30 (CONDOS 2001 - 2004) KILLED TAX LOT 809 ON 11/4/2010.",,2,0521,,0809,2,896,,,,,,,,,,,896,1,,,,,,,*,1113,1,73,30,2010/11/04 00:00:00+00,0521    0809,N,Y,2997,,,50.1256007367309,137.669829522598
3852635,2006/09/09 00:00:00+00,,"DELIVERY 11 - SEE CONDO BOOK 70, PAGE 10 (CONDOS 2001 - 2004) KILLED TAX LOT 802 ON 2/23/2009.",,2,3563,,0802,2,3687,,,,,,,,,,,3686,1,,,,,,,3209,J,1,70,10,2009/02/23 00:00:00+00,3563    0802,N,Y,1986,,,111.883949858866,566.612398828082
3852636,2006/09/09 00:00:00+00,,PHASE 1 - SEE CONDO BOOK 43 PAGE 21 (CONDO (2073) KILLED TAX LOT 839 ON 3/31/1998.,,2,0013,,0839,2,27110,,,,,,,,,,,15855,1,,,,,,,3698,G,1,43,21,1998/03/31 00:00:00+00,0013    0839,N,Y,1001,,,279.721648781403,4165.47198959157
3852637,2011/04/18 00:00:00+00,2011/04/18 00:00:00+00,"SEE CONDO BOOK 74 PAGE 36 (CONDOS 2001 - 2002) KILLED TAX LOT (842) & AIR RIGHTS LOTS (7001, 7004, & 7010) ON 9/30/2011.",,2,0054,,0842,2,51015,,,,,,,,,,,51015,,,,,,,,3852,G,1,74,36,2011/09/30 00:00:00+00,0054    0842,N,Y,4047,,,373.834492686661,7841.67437493957
3852638,2006/09/09 00:00:00+00,,SEE CONDO BOOK 75 PAGE 14 (CONDOS 2028 & 2029) KILLED TAX LOT 817 ON 9/28/2011.,,2,0477,,0817,2,1867,,,,,,,,,,,1867,1,,,,,,,,,1,75,14,2011/09/28 00:00:00+00,0477    0817,N,Y,4050,,,88.7740103291148,286.955823524309
3852639,2008/02/15 00:00:00+00,2007/06/07 00:00:00+00,SEE CONDO BOOK 73 PAGE 48 (CONDOS 2124-2251) KILLED TAX LOT 820 ON 9/26/2011.,,2,0542,,0820,2,13200,,,,,,,,,,,13200,,,,,,,,3830,V,1,73,48,2011/09/26 00:00:00+00,0542    0820,N,Y,4054,,,219.169503280561,2026.59949620501
3852640,2006/09/09 00:00:00+00,,DELIVERY 5 - SEE CONDO BOOK 74 PAGE 17 (CONDOS 2001 & 2002) KILLED TAX LOT 807 ON 2/11/2011.,,2,0787,,0807,2,1943,,,,,,,,,,,1942,1,,,,,,,,,1,74,17,2011/02/11 00:00:00+00,0787    0807,N,Y,4032,,,91.3007000182216,298.41707777246
3852641,2006/09/09 00:00:00+00,,"MAINTENANCE - SEE CONDO BOOK 79, PAGE 29 (CONDOS 2056 - 2063) KILLED TAX LOT 944 ON 7/17/2013.",,2,0513,,0944,2,4580,,,,,,,,,,,4580,1,,,,,,,3815,P,1,79,29,2013/07/17 00:00:00+00,0513    0944,N,Y,4125,,,114.682902252737,703.835663587618
